	document	label
38	[[문단]] 행복한 삶이란 원하는 삶을 살 때 누릴 수 있다. 사람마다 행복한 삶이 다르기 때문에 행복한 모습이 같지 않겠지만 스스로가 원하는 삶을 살 때 그속에서 만족을 찾을 때 행복한 삶을 살고 있다고 느낀다. [[문단]] 우리 생활 중에서 개인적으로 가장 쉬는 행복한 삶은 바로 가족이다. 우리는 가족을 가장 필요한다. 사람들은 어떤 삶을 살 때 가족도 필요하고 중요하다. 그리고 사람들이 보통 좋은 일이 있으면 먼저 가족들랑 같이 누릴 수 있다. 또한 사람들은 행복한 삶을 사기 위해서 돈이 필요한다. 우리 사회 생활 중에서 돈이 없으면 안 된다. 돈이 없으면 우리는 그냥 보통한 삶도 살 수 없다. 행복한 삶을 더 살 수 없다. 그래서 우리는 행복하게 원하는 삶을 사기 위해서 가족하고 돈이 꼭 필요한다. 개인적으로 행복하게 사기 위해 가족과 돈은 두게 중요한 조건이다. [[문단]] 사회적으로 행복하게 사기 위해 세계의 평화하고 국가의 발전은 제일 중요하다. 세계의 평화는 모두 사람들이 다 건강하게 살 수 있다. 이것은 바로 행복한 삶이다. 그리고 국가의 발전은 고난한 사람들이 더 좋아질 수 있다. 행복하게 살 수 있다. 그래서 사회적으로 행복한 삶을 사기 위해서 세계의 평화하 국가의 발전을 제일 필요한다. [[문단]] 이와 같은 개인적으로의 방면과 사회적으로의 밤면은 같이 있으면 바로 행복한 삶의 조건이다.	2
85	[[문단]] 최근 유엔은 각 나라를 대상으로 행복 지수에 대해 조사하였다. 그리고 한국이 좀 뒤에 차지했다. 행복한 삶이란 마음대로 살 수 있고 자기 삶을 편하게 살 수 있는 것을 말한다. 스스로 기쁘게 사는 생활이 행복이다. [[문단]] 행복한 삶을 살고 싶으면 3가지 조건이 필수적이다. 첫 번째로 가족이다. 가족이 우리 인생에서 중요한 것을 제공해준다고 생각한다. 우리 부모님은 우리에게 생명을 주고 가정 교육을 해주신다. 더불어 성정 과정에서 필요하는 것을 제공하실 뿐만 아니라 완성한 가정을 조성해주신다. 그래서 가족은 우리 행복한 삶의 조건중에서 하나다. [[문단]] 두 번째로 친구이다. 친구는 우리의 기쁨과 슬품을 옆에서 알아주는 대상이라고 할 수 있다. 현대 사회에서 경재를 반전할수록 사람은 스트레스를 많이 받아서 기분을 개선하는 것을 좀 어렵다. 이때는 기분을 전환하도록 친구한테 이야기하면 좋을 것 같다. 이야기 후에 자기 기부는 개선하고 게다가 친구와의 관계를 밀집해질 수 있다. 그러므로 친구는 우리 생활에서 필수적이다. [[문단]] 세 번째로 돈이다. 돈은 세상에서 꼭 필요한 것이다. 비록 모든 일을 할 수 없지만 돈이 없으면 아무것도 할 수 없다고 생각한다. 돈이 있으면 좋아하는 것을 살 수 있고 마음대로 생활할 수 있다. [[문단]] 나는 행복한 삶의 조건에 대한 3가지 요건을 생각한다. 만약 3가지가 만족하면 즐기게 살 수 있다.	2
83	[[문단] 사람 마다 행복한 삶의 정의에 대한 생각이 다르다. 가치관과 평가 표준 다르기 때문에 자신의 삶에 의견 도 다르다. [[문단]] 누구나 행복하게 살기를 원하다. 행복한 삶의 듯이 두 가지 측면 포함된다. 첫번째는 개인이 생활중에 행복하게 느낄 수 있다. 현재 하고 있는 직업과 일, 좋아하는 소원 이루어질까 등 방면을 통해 자신이 행복감을 받을 수 있는지 바로 첫번째 듯이다. [[문단]] 두번째 층면은 개인과 사회의 관계로 판단되다. 개인과 사회중 다른 사람의 사이를 어땠을까, 사회환경에서 받는 평가와 인증을 만족한지 다 행복한 삶의 두번째 듯이다. [[문단]] 행복하게 살기 위해 충족되어야 할 조건은 있다. 먼저 개인의 각도로 생각하면 자기의 취미와 능력을 잘 찾아서 발휘해야 한다. 좋아하는 일자리에 일하면 직업에 만족감을 늘릴 수 있다. 직업은 인생중 제일 중요한 부분중의 하나 만큼 삶에 큰 영향을 준다. 그리고 직업 뿐만 아니라 풍부롭고 다양다색의 생활 도 행복하게 살 수 있기 위한 개인의 노력이다. [[문단]] 다음은 겸순하고 당당하게 살아야 한다. 사회에서 다른 사람의 인정과 금정적인 영향을 받아서 의미 있는 삶을 필 것이다. 그리고 다른 사람의 칭찬등 좋은 평가를 다 행복한 삶의 필수적인 조건이다. [[문단]] 이상으로 행복한 삶을 살기 위해 개인적인 노력 뿐만 아니라 사회적인 생각 도 필요한다.	2
88	[[문단]] 어떤사람들은 행복하게 살기 어렵다고 생각할 수 있다. 그러나 행복한 삶의 조건이 간단하다. 누구나 자기가 원하면 행복하게 살수 있다. [[문단]] 행복한 삶의 조건은 첫번째 건강이다. '건강' 이단어를 들으면 쉬운일로 생각할 수도 있다. 사실 건강은 어렵지 않은데도 그렇게 쉬운 일도 아니다. 건강한 몸을 가지고 있어야 즐겹게 생활을 누릴 수 있는 법이다. 자신의 몸을 잘 챙겼으면 좋다. [[문단]] 행복한 삶의 조건은 두번째는 자유라고 생각한다. 자기가 좋아하는 사람과 결혼하거나 자기가 관심이 많은 업종을 종사하는 것은 당연히 행복한 삶이다. 그런데 내가 개인적으로 생각하는 자유는 자기가 원하고 싶은 일을 할 수 있는 것이 아니라 도리어 자기가 하고 싶지 않는 일을 안 해도 되는 것이다. 즐겹게 살려고 하면 자유에 달려 있다. [[문단]] 행복한 삶의 제일 중요한 조건은 바로 만족감이다. 행복한 삶이란 지금을 누리는 것이다. 지금 갖고 있는 모든 물질과음식 다 감격한 마음으로 받으면 훨씬 많이 행복해질수 있다. 지금 부모님은 자기 옆에서 살 수 있는 것이나 지금 자기 옆에 있는 친구들이 있는 것도 그것 행복이다. 이 세상에서 '그대로'이런 말이 없다. [[문단]] 그러므로 행복하게 살기 어렵지 않다. 행복도 우리에서 멀지 않다.	2
64	[[문단]] 전 세계의 사람들은 자기가 행복한 삶이 있다면 좋겠다는 생각이 있다. 그럼 행복한 삶이란 도대체 무엇인가? 행복한 삶을 살고 싶으면 그를 위해 어떻게 해야 한가? [[문단]] 행복한 삶이란 자신부터 만족감을 느낄 수 있는 것이다. 어느 사람이 매일 자기의 삶이 왜 이렇게 나쁘라고 말하면 행복한 삶이 있다고 말할 수가 없다. 그게 바로 만족감의 중요성이다. 그럼 행복하게 살기 위해 충족되어야 조건에 대해 생각는데, 3 가지가 있다. [[문단]] 첫번째는 자기의 생각이다. 다시 말하면, 자기의 만족도는 어느 정도인지 생각한 필요 가 있다는 의미다. 어떤 사람들이 돈에 대한 욕심이 있다. 이 상황에서, 많을수록 돈을 벌는게 만족도 상승시킬 수 있는 것이다. 또 어떤 사람들은 가족이 건강할 수 있으면 좋겠다는 생각뿐만있다. 그럼 이 것도 만족도 높일 수 있는 인소다. 둘번째는 자기의 가치를 실현하는 조건이다. 사람이 세상에 태었날 때부터 자기의 가치가 가지고 있다. 그래서 직장에 다니고 있는 회사원들이 매일 열심히 일하는 이유는 바로 자신의 가치를 발휘하고 싶다는 열심이다. 어느날, 다른 사람들의 귀감이 될 수 있다면, 그게 얼마나 영광한 일인지 생각해 본다. 이 것도 행복하게 살기 위해 중요한 조건이다. [[문단]] 이상의 말을 따르면, 행복한 삶이 살기 위해 우리의 노력이 필요한다.	2
22	[[문단]] 사람들은 이 사상에서 사는 이유는 행복해지기 위하이다. 행복한 삶은 내면적 얼마나 만족하느냐에 달려 있다. 사람마다 원하는 것이 다르므로 행복의 정의도 다양하다. 나음의 만족감을 찾을 때 행복하게 생활하다고 생각한다. [[문단]] 행복하게 살기 위해 충족되어야 할 조건은 물질적 측면과 정신적 측면으로 나누어 볼 수 있다. 먼저 물질적 측면을 말하면, 물품이나 돈의 총본이야말로 필요한 생활 조건이라고 생각할 뿐더러 돈으로 목표을 노려하고 있다. 왜냐하면 날로 발전하는 현대 사화에서 경제적인 안정은 많은 문제를 해결할 수 었기 때문이다. 하지만 어떤 사람이 물질에 대해 지나치게 축구하나머지 행복하지 않은 경우도 많다. 내가 물질은 필요한 조건이라고 인정하기로서니 합리적인 범위 안에서 노력해야 한다고 생각한다. [[문단]] 행복하게 살기 위한 조건은 다른 한평으로 정신적 측면이다. 이렇게 생각하는 사람이 정신의 안정이 무엇보다 중요시한다. 그런므로 항상 생활의 여가를 누리고 마음의 편화를 구하고 있다. 이런 생각이 젊은 사람보다 나이가 많은 연령층이 인전 한 편이다. [[문단]] 자는 행복한 삶이 사람나 다름이다고 여긴다. 사람마다 생화에 대해 선탱하는 것도 다양하다. 어쨋든 만족감을 찾다 보면 행복을 느낄 수 있기때문에 꾸준히 노력하면 좋겠다.	2
68	[[문단]] 행복한 삶은 스스로 원하는 삶을 살고 있을 때 느낄 수 있다. 사람마다 스스로 원하는 것이 다르기 때문에 행복한 삶이 같지 않겠지만 자신을 만족하게 할 수 있는 삶은 행복한 삶이다고 생각한다. [[문단]] 그렇다면 행복하게 살기 위해 충족되어야 할 조건은 크게 개인적인 측면과 사회적인 측면으로 나누어 살펴볼 수 있다. 먼저 개인적인 측면에서 자신의 욕구 충족되어야 행복하게 살 수 있다. 신체적인 건강하거나 경제적인 안정하는 최우선의 조건이라고 생각하는 사람들이 여기에 해당한다. 개인적인 건강하게 경제 문제가 없이 삶은 행복하게 살 수 있는 말이다. [[문단]] 다음으로 사회적인 차원에서도 행복한 삶을 살 수 있게 하는 조건이 있다. 사회적인 차원에서 옆에 있는 사람들과 안정하게 있을 때는 행복하다. 또한 자기는 사회를 위해서 어떤 이로운 일을 하며 가치가 있는 역할을 수행하는 것을 판단할 때도 행복한 삶을 살고 있다는 느낌을 느낄 수 있다. [[문단]] 행복한 삶은 사람마다 다르다. 그러나 개인적인 측면에서도 사회적인 측면에서도 행복하게 삶을 살 수 있다. 개인적인 자신의 욕구를 만족하게 하거나 사회적인 자신의 가치를 실현하거나 사람의 성격이 다를뿐이다. 그래서 어떤 측면에서도 행복한 삶을 살 수 있다.	3
34	[[문단]] 행복은 모든 사람들이 인생에서 추구하는 것이다. 행복한 삶이란 자신의 마음에 드는 일을 하고 목적을 가지고 있게 후회없이 노력해 사는 삶이라고 생각한다. 물론 행복한 삶을 사는 것이 수월하지 않다. [[문단]] 행복하게 살기 위해 충족되야 할 조건이 사회적 측면과 개인적 측면를 나눌 수 있다. 우선 개인적 측면에 대해 자신이 가지고 있는 목적이 중요하다. 인생의 각 단계에서 각양각색한 목적이 사람을 향상시키는 것에서 도움이 준다. 목적 의식이 지니고 있어야 인생의 나아가는 방향을 더 쉽게 찾을 수 있다. 또한 신체적 건강도 여간 중요하지 않다. 몸에 아플 때 아무것에 대해 정신도 차릴 수 없고 관심이 없는 법이다. 고리고 재신에게 쉬는 시간이나 한잔 커피를 설물로 주는 것도 필요하다. 왜냐하면 자신에게 스스로 격려하면 포기하는 생각을 감소할 수 있기 때문이다. [[문단]] 개인적 측면에 조건 중요시하거니와 사회적 조건도 등한시할 수 없다. 자신은 사회에세 사회 가치가 크면 느낄 수 있는 만족감도 많다. 그리고 자신과 사회의 조화도 중시해야 한다. 우리 사는 삶은 혼자만 사는 삶은 아니고 각계각층의 사회 구성원들 다 같이 만드는 것이다. [[문단]] 행복한 삶을 살기 위해 희망을 지니고 노력해야 한다. 그리고 자신의 행복감을 타인에게 나누면 행복한 삶을 사는 가능성이 배가될 수 있다.	3
32	[[문단]] 인간은 누구나 행복하게 살기를 원한다. 행복한 삶의 조건에 대한 사람마다 정의도 다르다. [[문단]] 나는 생각하는 행복한 삶이란 가족들이 곁에 있고 겅강하고 돈도 있고 인생이나 미래에 대한 꿈도 있는 것이 다고 한다. [[문단]] 나는 옛날에 이렇게 생각하지 않었다. 어렀을 때 부모님께서 멀도록 좋다고 생각했다. 또한 부모님의 찬소리는 없으면 좋겠다고 생각한다. 그래서 대학교에 다닐 때 고향에 먼 도시에서 다녔다. 하지만 나이가 점점 들은 후에 행복한 삶에 대한 정의가 바뀌었다. 특히 한국으로 유학하려 온 후에 가족들이 중요성이 더 깊게 느낀다. 부모님은 얼마나 보고 싶는지 옛날에 거의 생각하지 못했다. 그래서 나는 행복한 삶에 대한 정의는 이상이다. [[문단]] 그다음으로 행복하게 살기 위해 충족되어야 조건에 대해 얘기하겠다. 세상의 사람들이 많기 때문에 사람들이 생각도 다르다. 나는 학생으로서 생적이 좋고 꿈이 이루다고 생각한다. 남에 직업에 다라 충족되어야 한 조건도 다르다. 여를 들면, 회사원으로서 일에 열심히 하고 돈을 열심히 벌고 가족들과 같이 잘 살다. 가령 군인으로서 사람들이 있는 조건뿐만 아니라 국가의 안전이도 원한다. 그래서 사람마다 조건이도 다를 수 있다. [[문단]] 사람들마다 행복한 삶의 정의가 다르지만 사람들이 다 행복하게 살면 좋겠기 바람이다.	2
45	[[문단]] 인간은 누구나 행복하게 살기를 원합니다. 그런데 사람마다 행복한 삶의 정의에 대한 생각이 다른 만큼 행복한 삶의 조건이 비슷하지 않을 수도 있다. 성공을 얻고 싶은 사람에게 좋은 직업을 가질 수 있는 것이 행복한 삶인다. 가족을 중요하게 생각하는 사람들에게 가족들과 매일 같이 식사할 수 있는 것이 행복한 삶의 조간이라고 생각한다. 나에게는 얼마나 돈을 번들 가족들과 매일 건강하게 같이 있는 것은 행복한 삶이라고 생각한다. [[문단]] 내가 생각하는 행복한 삶이란 가족들끼리 오래오래 같이 있는 것이다. 내가 고등학교 때 2년 내에 나를 기우는 할아버지와 할머님깨서 돌아가셨다. 고등학교를 지내는 나에게는 천지가 깨져버린 감이 부짝 돌었다. 할아버지, 할머님과 같이 있었던 기억들도 매일 머리속에 떠울리고 눈물도 많이 났다. 그래서 그 때부터 행복은 보통적인돈을 많이 버는 것이 아니고 가족들과 행복하게보내는 긴 시간이라는 생각을 들었다. [[문단]] 행복하게 실기 위해 충족되어야 할 조건은 2까지 있다고 생각한다. 첫째 바로 가족들과 사랑하고 서로 소중하게 대하는 것이다. 가족들과 자주 이야기를 나누고 같이 추억을 만들면 그 추억의 자제도 행복한 삶의 일 부분이라고 생각하기 때문이다. 둘째, 바로 건강이다. 건강을 가져야 오래 살 수 있고 가족들과 오래동안 같이 보낼 수 있어서 행복한 시간도 증가할 수 있기 때문이다.	2
