	document	label
6	[[문단]] 요새 중국에 대학교에서 학업그만두고 떠나간 학생은 많아지고 있다. 이런 학생들은 대학교에서 배운 지식이나 과정은 나중에 생활중에서 큰 도움을 될 수가 없다고 생각한다. '대학교에서 배운 것이 미친영향을 받을수있지만 이런지식을배워도 돈을 벌기가 어렵다.' [[문단]] 지금 생각해도 4년대학교 졸업하면 내가 돈 벌기가어렵다. 그래서 여러분 직업을 선택할때 무슨 조건이 있을가? [[문단]] 내 생각은 직업 선택할때돈 취미 시간 세까지 차직한다. [[문단]] 돈은 물론이고 취미가 없으면 아무리 편한 일도 오랫동안 다닐수 없다. 어떤 업무가 다니면 10년동안 집에 갈수 없으면 돈 많이 벌어도 절대 안다닌다. [[문단]] 이 세까지 조건중에 내 생각하는 재일 중요하는것은 바로 취미다. 돈도 중요하지만 자신에 딱 맞는 직업이 다니면 아무리 힘든것도 극복할수있고 즐거운 생활은 보낼수있을 것이다.	0
62	[[문단]] 사회는 게속 발전하고 있다. 이 고속 발전한 사회에서 생존하면 직업은 가장 중요한 일인다. 그래서 직업을 잘 선택해야한다. 직업을 선택할때 여러 가지 조건을 있다. 그중에서 세 가지는 중요한다. 먼저 직업을 선택할때 그직업을 꼭 자신의 적성에 맞여야한다. 적성에 맞아면 그 직업을 잘 할수있다. 다음에는 직업을 선택할때 즐길수 있는 직업을 선택해야한다. 왜냐하면 취직후에 즐겨움을 없으면 기분까지도 나쁘질수 있다. 마지막으로 그 직업을 도덕적인 인정을 받아야한다. 직업을 도덕적인 일이아니면 아무 의미도 없다. [[문단]] 세가지 조건중에는 가장 중요한다고 생각하는 조건는 적성에 맞여야한다. 일이하고 어려움을 만나면 적성에 않 맞이면 해결하는 능력도 없다. 게다가 적성에 않 맞이면 그일이 즐길수 있는 기분도 없다. 그리고 자신에 어떤 부분에 잘하는지도 알수 있어서 성공한 비율이 더 높다. 뭐니뭐니 해도 적성에 맞이면 개인적인뿐만아리나 사회에도 바람직한 일인다. 개인적으로 즐길수있고 사회적으로도 도움이 될수 있다. [[문단]] 직업선택는 우리 인생중 가장 중요한 것인다. 직업 잘 선택하면 일생도 의미가있다. 그래서 직업선택할 때 어떤 조건을 가지고 꼭 알아보야 한다. 그렇게 하면 자신에게 바람직한 직업을 잘 선택 할수 있다.	2
9	[[문단]] 학교에 촐업해서 먼저 떠어르는 문제 바로 직업선택하는 것이다. 직업을 선택할떼 취미, 월급, 우데 이 세요소에서 벗어나지 않다. 이 세요소가 직업을 선택할때의 요인이니까. [[문단]] 그중에서 가장 중요하다고 생각하는 것은 취미이다. 누구든지 학생시절에 이런떼 꼭 있다. 학교에서 공부만 하는 사황에 벗어나 고 싶다. 더이상 견딜수 없을 만큼 지친다. 부모님도 매일 수고한는일 지금뿐이라고 한다. 특히 입시교육 위주의 아시아지역에서 이런 공감을 없는 경우는 거의 없다. 이런 고통 스러운 시절에 벗어나면 자기취미나 꿈을 따라서 직업을 선택하는 것이 다연하는게 아닌가? 월급이나 우대를 좋지안아도 오래 시간을 지나가면 좋아질 수도 있다. 다른 조건을 고려하지 않은게 아니고 취미라는 조건을 먼저 교려하는 뿐이다.	0
24	[[문단]] 사람마다 직업을 선택할 때 성적에 따라 다르다. 일반적으로 사람들은 고려한 조건이 몇 가지가 있다. [[문단]] 안정적인 고수입, 삶과 관련된 조건은 사람들이 왕왕 고려해야 한 조건 중에 하나다. 그 뿐만 아니라 미래에 대해 발전 가능성이 있는 지 또 한가기 조건이다. 그 다음은 자신에 맞는 적성이 있는 조건도 선택할 때는 사고해야 하는 점이다. [[문단]] 하지만 그 중에 최우선으로 고려해야 하는 조건이 바로 적성이다. 안정적인 직장에서 평생 자기 좋아하지 않거나 잘하지 않는 일하면서 피로감이 쉽게 생길 수 있다. 그 때는 일하는 고사하고 우울증 따위의 병을 걸릴 수 있는지도 모르다. 이와 마찬가지는 아무리 미래 전망이 밝힌 발전 가능성이 큰 직업이라손 치더라도 자신이 하기 싫은 일이라면 용이하게 시련을 겪는 통에 일찍 사표를 내는지도 모르다. 그러므로 안정적건 미래 발전을 밝힌 일자리건 하는 바에야 적성이 있는 직장을 구하기 중요하다. 직장은 평생에서 다녀야 하는 것이다. 자신에 맞지 않으면 스스로와 싸우는 마당에 스트레스를 배로 받을 수 있는 면이 있으므로 직업을 선택할 때 적성이 최우선으로 고려되어야 한다. [[문단]] 직업은 자신에게는 인생 중에 중시해야 하는 선택하는 것이 과언이 아니다. 그래서 심중하게 요소를 충분히 고려한 뒤에 정하기 바람직하다.	2
34	[[문단]] 사람들은 직업 선택을 중요하지 않다고 생각하 수 있다. 하지만 지금 사회에서 평생직장를 지키하기 위해서 직업을 선택할 때 매우 심중해야 한다. 제 생각에 직업을 선택할 때 중요하게 생각하는 조건은 3까지 이다. 첫째, 직업을 선택할 때 꼭 자신이 좋아하는 직업 중류를 선택하는 것이다. 왜냐하면, 아무리 환경 좋고 안점한 큰 회사가 이여도 좋아하지 않은 일에 대해 열점을 갖고 일을 해 수 없다. 둘째, 직업 선택에 대해 자신의 발전 강능성를 생각해야 한다. 한 회사를 선택할 때 발전 강능성가 큰 회사를 선택하여, 직장에 다니할 때 많은 것은 배우하 수 있고, 나중에 직장은 바꿔려고 해도 더 좋은 직장으로 옮기 수 있다. 마지막으로, 직업을 선택할 때 안점하고 직장 분위기 좋은 회사를 선택 한다. 직장 분위가 중요한다고 생각하는 이유는, 불평등한 직장를 다닐 때 공정하지 않은 태우를 받고 사람은 점점 자심감이 떨어져고, 불안해 수 있다. [[문단]] 하지만, 이 중에서 가장 중요하다고 생각하는 것은 첫분째 조건은 이다. 왜냐하면, 관심이 없으면 아무리 좋은 회사, 좋은 태우, 좋은 환경가 있어라도, 사람은 그 일에 대해 최선을 해 수 없다. 그리고 좋아하지 않은 직업을 선택하 면, 어제가 그 일에 대해 관심이 잃다. 그래서, 좋아 하는 직업을 선택하는 것은 가장 중요하 조건은 생각한다.	1
12	[[문단]] 사람에 따라 직업을 선택할 때 중요하게 생각하는 조건을 따르다. 사람마다 처한 입장을 다르기 때문이다. 일반적으로 적업을 선택할 때 중요하게 생각하는 조건은 세 가지가 있다. 첫 번째, 시간적인 여유가 있어야 한다. 두 번째, 경제적인 면도 고려해야 한다. 돈이 노동의 원동력이 때문이다. 마지막으로 직업의 발전 가능성도 고려할 수 있다. 왜냐하면, 만약에 직업의 발전 가능성이 떨어진다면 여러가지 문제가 생결 수 있기 때문이다. [[문단]] 직업을 선택할 때 중요하게 생각하는 조건이 모두 생각하는 것이 좋겠지만 그 중에서 가장 중요하다고 생각하는 것은 바로 시간걱인 여유다. 매일매일 반복해서 근무를 하면 인생의 기쁨이 없고 마음이 점점 황폐해진다. 그리고 컴퓨터옆에 앉으면 허리 디스크를 유발할 수 있고 건강에 해롭다. 아무래도 많은 돈이 벌어도 소용이 없다. 또한 직업의 발전 가능성이 떨어진다면 다른 직업을 선택할 수 있다. 그러나 시간적인 여유가 없으면 가족들이 서로 소통할 수 없고 서로 소외해진다. 그리고 자신의 시간이 없으면 새 지식을 공부할 수 없다고 생각한다. 아무리 많은 발전 가능성을 준다손 치더라도 잡을 수 없다. [[문단]] 그러므로 우리 직업을 선택할 때 신중으로 중요하게 생각하는 조건을 자신이 잘 맞는 것을 선택해야 한다.	3
48	[[문단]] 직업 선택 조건들 중에서 중요한 것은 개인의 적성이나 취향이다.직업을 선택할 때 먼저 자신을 인식해야 한다.개인의 취미,기질,성격,능력,소양,지식구조,그리고 가정문화배경 등에 대해 전면적으로 객관적인 평가를 하면 자신에게 맞는 직업 범위를 확인할 수 있다.그리고 직업의 장래성을 가질 필요성도 있다. 직업의 내용,특징,환경,지위,그리고 경제적인 수입 등에 관한 것을 분석해야 된다.그 결과를 통해 우리가 좋아하는 일을 할 때 어떤 욕구가 만족되는지 찾을 수 있다.마지막으로 직업에 대한 사회적인 환경,심리,그리고 정책도 고려해야 한다. [[문단]] 이 모든 조건을 다 고려해 직업을 선택하는 것이 좋겠지만 가장 중요한 조건 한 가지만을 골라야 한다면 적성을 가장 우선시해야 할 것이다.우리가 좋아하는 일을 할 때 열정도 높고 용기도 가득 차고 어떤 곤란한 상황에 처할 때 쉽게 포기하지 않는다.그러나 맞지 않은 직업을 선택할 때 먼저 우리의 내부부터 저항 심리가 생긴다.우리가 평소보다 더 쉽게 소극적으로 변하고 문제를 만날 때 더 쉽게 포기할 것이다. [[문단]] 어떤면에서 보면 직업 선택은 바로 인생 선택이다. 우리가 자신에 잘 맞는 직업을 선택하면 자신의 능력을 충분히 발휘할 수 있으며 기회와 성공도 따라올 수 있다.따라서 우리가 진정으로 원하는 조건에 잘 맞는 직업을 선택해야 한다.	3
68	[[문단]] 사람마다 가치관이 다르고 처한 입장도 다르기 때문에 직업 선택 시 중요시하는 조건도 다르다. 그러나 일반적으로 많이들 고려해 보는 조건들이 있는데, 보통 가장 먼저 고려해 보는 조건은 적성이나 취향, 가치관 등과 관련된 부분이다. 그리고 현실적인 발전 가능성 또한 많이 따쳐해 보지 않을 수 없다. 아무리 좋아서 하는 일이라고 해도 향후 그 일의 가치가 떨어진다면 어려움에 직면 할 수 있기 때문이다. 마지막으로 사회적인 평판 또한 고려해 봐야 한다. 하는 직업에 대한 사회적으로 인청을 받지 않다면 느끼는 보람이나 만족이 적을 수 있기 때문이다. 이 모두 조건을 고려해 보고 직업을 선택하는 것이 좋겠지만 많이 조건들 중 하나가 선택한다면 무척 적성 가장 우선시해야 할 것이다. 발건 가능성이 있는 직업의 가치가 떨어진다면 현실적인 여러 문제가 생긴 가능성이 높다. 또 사회적인 평판이 있는 직업은 사화척으로 인청을 받지 못거나 도덕적인 문재가 있다거나 느낄 보람과 만족이 적을 수 있기때문이다. 그러나 적성에 맞지 않으면 외부적인 요약이 아닌 자신 내부 갈등을 접한 경우가 많다. 그러므로 그 일을 하는 가운데 우울이나 괴로운 느낌을 가지고 있을 수 있다. 반면에 아무래도 자신의 적성에 맞기 때문에 어려운 사황이나 복잡한 문제가 생기거나 불문하고 다 잘 해결할 수 있으므로 계속 즐기는 삶을 얻을 수 있다. 한마디로 말해자면 직업 선택 시 자신의 적성에 알맞기 제일 우선시한다	2
86	[[문단]] 사람들은 직업을 선택할 때 고려하는 것이 다르고 중요하게 생각하는 조건도 다르다. 우선 적성에 맞는 직업을 선택해야 일에 즐겁게 물두할 수 있다. 그리고 높은 연봉을 반은 조건도 필수적이다. 물가가 하늘 높은 줄 모르고 오르는 오늘날 월급이 적기 때문에 생활해 나가기가 힘들다. 연봉이 많은 직업을 선택한다면 일이 힘들다고 해도 생활 수준이 향상시킬 수 있다. 마지막으로 업무 환경이 편안하고 시간적 여유가 있는지가 중요하다. 이러한 조건이 있어야 업무의 효율성이 높아질 수 있다. [[문단]] 이 모든 조건이 갖춘있는 직업을 선택하는 것을 좋겠지만 꼭 하나만 선택해야 한다면 적성을 가장 우선시 고려해야 할 것이다. 적성에 맞는 직업을 선택할 때 스스로의 성장 가능성도 높아진다. 자신이 즐거운 일을 한다면 남들보다 더 좋은 결과를 얻을 수 있고 업무의 효율성도 남들보다 더 높다. 어렵고 귀찮은 일을 하는 것보다 적성에 맞는 직업이 같은 시간동안 일을 해도 효율성이 더 높다. 아무리 어려운 일이더라는 즐겁고 흥미를 카지고 있다면 다 이겨낼 수 있다. [[문단]] 성공한 사람들이 대부분이 적성에 맞는 직업을 선택하여 성공을 어두는 공톰점이 있다. 반대로 적성에 맞지 않은 직업을 선택한다면 성공한 사람이 적게 편이다. 그러므로 성공하고 싶다면 적성을 우성이 고려해야 하다.	3
73	[[문단]] 직업은 현대 사회에 너 나 할것없이 가져야 하는 일이다. 직업은 자신이 얼마나 좋은 능력을 갖추느냐에 달련이다. 그래서 직업을 선택하기 전에 꾸준히 노력해야해서 마음에 드는 직업을 선택할 수 있다. [[문단]] 좋은 직업을 선택하면 일을 할때에는 시간이 흐르는줄 모르고 즐겁게 일을 할 수 있다. 반면에 마음에 들지 않은 직업을 받으면 항상 힘든 시간을 겪고 우울하게 일을 할 밖에 없다. 이를 통해서 직업을 선택하는 것이 여간 중요한 일이 아니다. 직업을 선택할때 우선 고려해야 하는 것은 바로 돈이다. 아무리 쉬운 일이 한들 자기의 생활을 유치할 수 있는 돈을 못 벌면 안 되기 때문이다. 그리고 이 직업이 가지고 있는 가치과 의미도 중요하다. 아무 소용없는 일이하는것이 생명의 낭비이다. 또한, 직업에 대해 자신의 만족도는 무시할수 없다. [[문단]] 물론 모든 조건이 다 중요하지만, 자신의 만족도는 가장 중요하다고 생각한다. 직업은 한번 선택하면 함부로 바꿀 수 있는 일이 아닌 만큼 심중하게 결정해야 한다. 자기의 적성에 맞춘 직업야말로 좋은 직업이다. 즐겁게 일을 하는 동시에 돈을 벌수 있고 사회에 도움을 줄수 있는 직업이 모두 원하는 것이다. 직업을 통해서 만족감을 얻을 수 있으면 삶의 가치가 나타날 것이다.	2
