	document	label
4000	[[문단]] 이 세상을 살아가는 사람들 중에 성공을 원하지 않는 사람은 아무도 없다. 그러나 성공이 무엇인지에 대해서는 사람마다 생각이 다를 것이다. 큰 부를 이루는 것을 성공이라 생각하는 사람도 있을 것이고, 높은 지위에 오르거나 명예를 얻는 것을 성공으로 여기는 사람도 있을 것이다. 무엇을 성공으로 바라보는가에 따라 성공의 기준 역시 달라지기 때문이다. [[문단]] 그러나 내가 생각하는 성공은 그러한 데에 있지 않다. 부, 명예, 지위와 같은 것을 성공의 기준으로 삼게 되면 그것을 이루기 위해 노력하는 과정은 아무런 가치가 없는 것이 될 수 있기 때문이다. 즉 어떠한 결과물만을 성공의 기준으로 삼을 경우, 그것을 이루기 위해 노력한 하루하루의 삶은 자리잡을 곳이 없게 되는 것이다. 비록 자신이 목표로 한 정도까지 성공을 이루지 못했더라도 그것을 이루기 위해 노력하는 과정을 즐기고 그 과정에서 행복을 느낄 수 있었다면 그것이야말로 진정한 성공이 아니겠는가. [[문단]] 따라서 진정 성공하고자 한다면 자신이 원하는 성공이 무엇이든 간에 그 결과물을 얻는 데에만 관심을 가져서는 안 된다. 그것을 이루기 위해 노력하는 과정 자체를 즐길 수 있어야 하며, 그러한 마음의 자세가 필요한 것이다. 실제로 자신의 분야에서 크게 성공한 인물들을 살펴봐도 이를 알 수 있다. 그들이 그렇게 성공할 수 있었던 것은 자신이 목표로 한 것을 이루기 위해 노력하는 과정 그 자체를 즐겼기 때문이다. 만약 그들이 단지 성공만을 꿈꾸며 그것을 이루기 위한 과정을 고통스럽게 여겼다면 결코 그러한 성공을 이루지 못하였을 것이다.	3
4057	[[문단]] 이 세상에서 살아가는 사람 중에 성공을 원하지 않는 사람이 아무도 없다. 그러나 성공이 무엇인지에 대해 사람들의 관점이 다르다. 큰 부를 이루면 성공이라고 할 수 있다고 생각하는 사람이 있을 것이고, 높은 지위에 오르거나 명예를 얻는 것이 성공이라고 할 수 있다고 생각하는 사람도 적지 않다. 즉 무엇을 성공으로 바라보는 사람에 따라 성공의 기준이 역시 달를 것이다 [[문단]] 부, 지위와 명예가 나쁘지 않지만 성공에 맞먹을 수 없다고 생각한다. 이러한 결과물만 이루기 위해 하는 노력이 자리를 잡는 곳이 없을 뿐만 아니라 아무 가치도 없을 것이다. 이와 달리 자신의 목표를 향해 꾸준히 노력한다면 결코 어느 정도까지 성공을 거두지 못하더라도 노력 그 광정 중에 즐기며 행복을 느낄 수 있다면 이야말로 진정한 성공이지 않겠는가. [[문단]] 따라서 성공을 이루기 위해 결과물만에 관심이 있어서는 안 된다. 결과물을 성공으로 삼게 되면 결코 아무 소용도 없다. 진정한 성공을 이루기 위해 노력 과정을 즐기며 그러한 마음 자세가 가장 필요하다. 왜냐하면 노력 과정을 중시하는 동시에 즐기며 행복을 느껴야 성공의 가치도 터득할 수 있을 것이다. 실제로 자신의 분야에서 성공을 이룬 인물들을 보면 이유도 알 수 있다. 그들이 성공을 거두기 위해 가는 길에서 단순히 꿈꾸는 것이 아니라 즐겁게 노력 광정을 중시한다고 알 수 있다. 만약에 그들이 노력 과정을 고통스럽게 생각했다면 성공을 이루지 못했겠다.	3
4058	[[문단]] 내가 생각하는 성공이란 사람에게 인정받고 행복하게 사는것이다. 하지만 쉬운 일이 아니다. 많은 사람들 성공하기 위해 노력한 모습을 보일 수 있다. 보통 내가 존재하는 이유과 목표 계획 사람도 많다. [[문단]] 한번 성공할 수 있는 사람이 많지 않다. 실패하는 경우 많다. 어렵기때문이다. 성공하기 위해여서 무멋을 준바할까? 실피를 준비하야 한다. 보통사람들 실패할 때 포기하는 경우도 많지만 잘생각하고 계획하면 지낼 수 있다. 면저 목표와 계획을 세우고 그것을 이루기 위해서 구꾼히 노력도 필요한다. [[문단]] 성공한 길을 찾을 때가 길을 잃을 수 있다. 그상황피하기위해서 목표외계획이 중요한디고 생각한다. [[문단]] 우리가 기회를 언제나 볼 수 있는지 모르지만 우리항상 그 상횔 질 대체하기 위해서 준비하야 한다. 반면에 질준비하지못한다면 그기회올때 놓칠 수도 있다. 성공여부는 한순간 결정이지만 우리는 항상 잘 준비하고 그것을 위해서 노력하면 성공을 잡을 수 있을것이다.	0
4059	[[문단]] 내가 생각하는 성공이란 무엇인가? 살면서 자신에게 이 질물을 물어본적이 많다. 대부분 사람들이과 다르게 내가 생각하는 성공이란 기쁨, 즐거움, 행복함이다. [[문단]] 이런 말 들었다. '아무리 성공하더라도 행복하지 못하면 실패다' 이말이 정말 맞다고 생각한다. 현제 사회를 보면 대부분 사람들이 자기 좋아하지않는 일을하고 있다 돈이 많이 벌기 위해서 강한 인제관례를 위해서 겉모습을 위해서 자신의 기쁨, 즐거움, 행복함 없이 살고있다. 기분이 기쁘지못하고, 일에서 즐기지 못하고 마음에 행복하지 못하면 성공아니라고 생각한다. 돈이 많이 벌어서 성공이 아니다. 자신이 좋아하는일이 하는것은 성공이다. 엄마가 그랬다 '둘사람이 혼자 있을때보다 더행복해지려고 결혼하고, 셋 사람이 둘이있을때 보다 더 재미있게 살려고 아이를 낳다' 내 어머니 이런 긍정적인 생각을 가지고 살아서 굉장히 성공하신 분이다. 자신에게 진정한 행복은 무엇인지 찾아야하고 망설임 없이 용기를 내서 그 행복을 찾으러 가야한다. [[문단]] 거짓 가득한 세상에 벗어나서 자신이 무엇을 좋아하는지 찾아서 기분의기쁨, 일에 즐거움, 마음의 진정한 행복을 느끼며 성공하는것이다. 작은일이 더라도 행복을 느끼며 성공할수있다. 어떤 사람들은 간난하더라도 행복한다. 왜냐하면 좋아하는일 하고있기 때문이다.	2
4060	[[문단]] 여러분은 성공이 무엇이라고 생각하십니까? 그리고 그러한 성공을 이루기 위해 필요한 것이 무엇이라고 생각하십니까? 내가 생각하는 성공의 기준에 대해서 지금 말씀드리겠습니다. [[문단]] 내가 생각하는 성공이란 성공을 위해서 열심히 노력하는 과정입니다. 그 과정에서 엄청 힘들고 지루고 고생을 많이 겪고 있습니다. 이 과정에서 지식을 많이 습득해서 성공을 점점 이루졌습니다. 내가 이 과정을 제일 중요시 생각했습니다. [[문단]] 이 성공을 이루하기 위해서는 필요한 것은 집중력하고 견지심이 있어야 합니다. 그리고 처음부터 초심을 일저버리지 마십니다. 그 이유는 집중력하고 견지심이 없으면 성공을 이루질 수 없습니다. 성공을 위해서 중간에 포기하지 말고 집중력을 기울이고 열심히 노력해야 됩니다. 너무 힘들어서 그만두는 마음이 생겨서 그래도 계속하야 성공을 가가울 수 있습니다. 아런 힘든 과정에서 자신의 지식을 풍부해주십니다. 그리고 많은 사람들은 성공을 위해서 최초의 초심을 잃어버렸습니다. 초심을 읽는 게 아무 의미가 없습니다. [[문단]] 이것은 내가 생각하는 성공의 기준입니다. 여러분도 앞으로 성공을 위해서 힘들더라도 포기하지말고 초심을 잃어버리지 말고 이 과정에서 충분히 누리하시기 바릅니다.	0
4061	[[문단]] 사람마다 각자의 성공 기준이 다르다. 어떤 사람이 부자가 되면 성공이라고 생각하고 또 어떤 사람을 가난한 사람에게 도움을 줄 수 있는 것을 성공이라고 한다. 내가 생각하는 성공이란 자신의 꿈을 이루기 이해 노력하는 과정에서 많은 것을 더 터득할 수 있고 그들을 이용하고 나아간다는 것이다. [[문단]] 내가 생각하는 성공을 이루기 위해 필요한 것은 두가지가 있다. 첫번째는 인내심이다. 이 과정에 죄절이나 구욕을 당할 때도 있다. 인내심을 갖추고 끝까지 견디다는 것은 매우 중요한다. 포기하면 다시 시작하는 게 힘들다라는 말이다. 그 나머진 것은 다른 사람의 장점을 발견할 수 있는 능력이다. 성공한 기준이 다른들 같은 꿈을 가기고 있는 사람이 많다. 그런 사람을 만나게 되면 서로 경쟁할 수도 있다. 이럴 때에 그 사람의 장점을 발견할 수 있다면 그 것을 배우고 자기의 장점으로 발전시키고 실력을 높여지는 말이다. 다시 말하자면 인내심과 강한 학습능력을 터득하면 성공의 희망을 볼 수 있는 것이다. [[문단]] 성공은 결국 꿈을 이루는 것뿐만 아니라 꿈을 이루기 위해 노력하는 과정에서 어려움을 겪어도 끝까지 포기하지 않으면 언젠가 희망을 볼 수 있는 것이다. 게다가 경쟁할 사람의 장점을 습득하고 능력이 높아지면 성공의 길에서 또 한걸음을 나아간 것이다.	3
4062	[[문단]] 인간의 문명과 사회의 발전한다면서 사람들의 욕심과 경쟁의식도 심해졌다. 이세상에서 성공을 원하고 싶지 않는 사람이 없다. 돈을 많을수록 버는 것이 성공이라고 생각하는 사람도 있고 높은 직위를 얻는 것이 성공한다는 사람도 있다. 사람에 따라 성공의 기준도 다른다. [[문단]] 내가 생각하는 성공이란 바로 행복한 삶이다. 행복하려면 자기가 하고 싶은 일을 해야 한다. 많이 부모님들이 자녀들이 편하게 살하기 위해 지녀들은 공무원이 되는 것을 원한다. 하지만 자녀도 자기의 꿈이 있고 병범한 삶이 싫은 경우도 많다. 편한 생활이 나쁜 것 아니지만 자기의 꿈을 이룰 수 없어 행복할 수 없다. 이런 인생이 성공한 인생아니다. [[문단]] 그래서 우리는 생각하는 성공을 위해 목표를 세워야 한다. 이 목표를 이루기 위해 노력하는 거밖에 없다. 이 과정에서 고난과 실련도 있을 것 같은데 실패해도 자기의 꿈을 위해 노력한 적이 있어서 성공이라고 할 수도 있다. 또는 노력할 때 습득한 것도 있어서 경험과 지식은 얻는다. 이것도 성공이다. 드디어 꿈을 이루면 얼마나 행복한 지도 모른다. 이것은 사람한테 진정한 성공이다. [[문단]] 여러분도 자기의 목표를 알아야 하고 행복한 삶을 위해 노력해서 물론 어떤 결과를 나와도 성공이다.	2
4063	[[문단]] 내가 생각하는 성공은 자기 좋아하는 일을 할 수 있는 것이다. 지금 우리 사는 이 시대는 돈이 성공이라는 생각하는 사람이 많다. 그런데 사람은 돈이 위해서 태워나는 것이 아니라 행복하기 위해서 태워나는 것이다. 그래서 자기 좋아하는 일을 하고 행복하게 사는 것 더 중요한다. [[문단]] 그것을 이루기 위해 필요한 것은 무엇인가? 바로 포기하지 말고 계속해야 한다. 성공으로 가는 길이 길어서 어렵고 힘든 것이 많다. 이 순간마다 사람들이 쉽게 포기할 수 있다. 그래서 성공할 수 없다. 만약에 우리는 어렵고 힘든 것을 참을 수 있다. 아무든 자기 좋아하는 일이라서 쉽게 포기하지 말고 계속하고 더 노력하면 성공은 가깝게 질 수 있다. [[문단]] 이 무든 일이 시작하기 전에 먼저 자기 좋아하는 일이 찾아야 한다. 제가 좋아하는 것은 무엇인지 앞으로 멋 하고 싶은지 정확히 알아야 한다. [[문단]] 이렇게 지기 좋아하는 일을 하고 인생은 행복하 수 있고 성공은 이루질 수 있다.	0
4064	[[문단]] 이 세상에서 성공을 원하고 싶지 않는 사람이 없다. 하지만 사람마다 성공을 정의하는 것도 다르다. 예날에 보통 사람들이 '돈, 차 여(남)자'를 가지면 성공인사라고 생각했다. 근데 지금은 사회의 발전에 따라 사람들의 성공에 대한 사고방식도 점점 변화하고 있다. [[문단]] 내가 생각하는 성공이란 자신의 꿈을 가지고 열심히 노력하도록 끝까지 소월을 이루어지는 바로 순간이다. 자기 삶에서 아무보다도 자기의 인생 제일 중요하다. 다른 사람의 성공 가치관이 영향하지 말고 자신이 원하는 것으로 노력해야 한다고 생각한다. [[문단]] 내 꿈을 이루기 위해서 시간관리와 구체적으로 계획을 세워야 한다. 왜냐하면 시간이 냥비하면 꿈을 이루는 관정 더 어려워질 수 있을 것 같기 때문이다. 조금씩 계획을 만들으면 계획대로 계속하며 자심감을 점점 얻을 수 있을 뿐마아니라 꿈이나 모표까지도 점점 가까이 볼 수 있다. 또한 꿈을 이루어지는 과정에 너무 어렵고 고생한 시간이어서 충분한 심리준비를 준비해야 한다. 자신감이고 낙관적인 태도가 가져야 한다. 마지막으로, 잘 운동하거나 취미 생활도 잘 지내야 된다. 다양한 생활이 지나면 고생한 시간을 잘 지날 수 있기 때문이다. [[문단]] 제에게 성공이란 돈, 집, 원만한 인간관계가 아니고 자기의 꿈을 이루어지는 순간이다.	2
4065	[[문단]] 성공이란 말이는 사람마다 의미도 달랄 수 있다. 어떤 사람한테 성공은 재부다. 어떤 사람한테 성공은 명예다. 또는 어떤 사람한테 성공은 자기의 만적감이다. 학생한테 성공은 시험이 좋은 성적을 받는 것이다. 어머니한테 성공은 자녁의 건강이다. 아버지한테 성공은 가족의 행복이다. 나한테 성공은 어떤 목표를 이루지위해 노력하는 과정이다. [[문단]] 사람들이 아시다시피 우리가 어떤 목표를 이루어질 때 과정이 제일 중요한다. 이 과정중에서 배울 수 있는 것을 많다. 이 목표를 이루어질 때 항상 힘들 때도 있고, 포기하고 싶은 때도 있을 수 있다. 그래서 만약에 어떤 목표를 세울때 꼭 이루어지는 마음이 있어야 한다. 또 이 목표를 이루기 위해 지획도 세워야 한다. [[문단]] 기획을 세우는 것은 바로 목표를 이루어질 때의 과정에서, 자기의 행동과 마음을 견딜 수 있는 것이다. 목표를 세우기 전에 자기가 명백한 생각이 있어야 한다. 내가 왜 이 목표를 세울거야? 이 목표를 이루기 위해 나는 어느 정도까지 할 수 있을까? 명백한 기획을 세운 후에 노력하는 과정에서 많은 지식을 모르지만 즐겁게 알 수 있다. 이제 성공한 결과가 중요하는 것이 아니였다. 중요한 것은 나는 이 성공을 위해 어떤 노력을 한다. 또는 이 과정에서 나는 어떤것을 배울 수 있다.	3
