	document	label
99	[[문단]] 직업을 선택할 때 여러 가지 요소를 고려해야 한다. 그중에 중요하게 생각하는 조건이 사람마다 다르지만 보통 월급이나 연봉을 비롯된 회사복지이고 적성 및 앞으로 발전 가능성이다. 기본적인 생활을 유지하기 위해 적당한 연봉을 필요하다. 밝고 희망을 담긴 진로도 직업에 몸담은 만한 요소이다. 그런데 적성이야말로 직업을 선택할 때 가장 중요한 조건이라고 한다. [[문단]] 신입 사회에게 아무리 큰 회사에 취직한들 월급이 다른 회사보다 비슷한다. 하지만 적성에 맞는 직업을 선택한다면 아무리 곤란에 직면하도 견디할 수 있으며 기꺼이 감수함 끝에 좋은 결과를 거둘 수 있다. 반면에 적성에 맞지 않으면 회사에 자주 옮겨 힘듦을 느끼기 일쑤이다. 그리고 작성에 어울리는 직업을 찾은 사람은 남에 비해 자신의 실력을 충분히 발휘할 수 있고 성적을 거둔 확률도 상대적으로 높다. 현재 사회에서 돈이 필요한다는 말이 있지만 돈은 가장 중요한 일이 아닌다. 적당한 돈을 가지고 자기에게 가장 어울리는 직업을 선택하고 꿈을 추구하는 것은 이런 이익 위주 사회에 가장 소중한 것이라고 생각한다.	0
57	[[문단]] 사람마다 직업 선택의 조건도 다르다. 그런데, 직업을 선택할 때 중요하게 생각하는 조건은 세 가지로 나눌 수 있다. 첫째, 적성이다. 그 직업을 선택한 후에 자신과 맞는지 안 맞는지 매우 중요하다. 둘째는, 바로 사회의 평가이다. 그 직업은 다른 사람 그 직업을 어떻게 생각하느냐도 중요하다. 만약에, 어떤 사람이 그 직업의 사회 평가가 안 좋은 직업을 선택하면 그 후에는 자기 지신일 뿐더러 자신의 가족까지도 괴로움을 줄 수 있다. 그러므로 사회 평가가 직업 선택할 때 고려해야 한다. 마직막은 돈이다. 지금은 돈이 쓸 데가 아주 많다. 돈이 없다면 자신의 기본생활도 보장할 수 없으면 안 된다. 그 후에는 또 많이 다른 조건들이 있다. 하지만 그 중에 제일 중요한 조건이 저는 이렇게 생각한다. [[문단]] 그 세 가지 조건이 모두 중요하는데 굳이 가장 중요한 조건이 고르면 저는 적성이라고 생각한다. 왜냐하면, 직업은 우리들한테 아마 평생 같이 있어야 한다. 그러므로, 적성이 안 맞은 직업을 선택한 다면 평생 후회 할 것이다. 또한 직업은 우리 즐거움을 줄 수 있다. 만약에, 적성이 안 맞은 직업이면 항상 괴로움을 느낄 수도 있고 점점 행복감이 떨어지는 경우도 증가할 것이다. 또한, 자신이 슬픔을 보기 싫은 부모님들에게도 고통을 가져올 수 있다. [[문단]] 이상까지는 직업 선택의 조건을 말했다. 하지만 사람마다 생각도 다르다. 그래도 자신의 맞은 직업을 선택하는 것이 무엇보다 중요한다.	2
96	[[문단]] 직업을 선택할 때 중요하게 생각하는 조건은 적성이라고 생각한다. 그리고 중요하게 생각하는 조건 세 가지는 적성, 정공, 취미이다. 그런데 우리 직업을 선택할 때 이거저거 문제가 생길 것이다. 우리는 직업을 선택할 때 고려해야 한다. [[문단]] 우리는 회사에서 하는 일이 적성하지다면 힘들어졌다. 많은 시간이 낭비했다. 이 것 뿐만 아니라 스트레스를 받을 것이다. 이러 한 직업을 부담스러운 일이 감이 있다. 예를 들어 회사에서 할 일이 많은 취미가 생기면 그 일이 잘한 데다가 좋은 결과를 거두게 된다. 그래서 관심이 많은 일이 하는 게 항상 제일 제대로 진행할 수 있다. [[문단]] 그 중에서 가장 중요하다고 생각하는 것은 적성이다. 이 것 뿐만 아니라 모든 일이 할 때 적성이 먼저 고려해야 한다. 재미있는 일보다 우리는 해야 하는 적성에 대한 어떻게 할 것이다. 사회에 따라서 경제가 아주 빠르게 발전하고 있기 때문에 직업을 선택할 때 중요하다. 다른 조건보다 적성 더 중요하다고 생각하다. 사실은 어떤 일이 하는 게 적성으로 자신의 능력을 알 수 있다. 좋든지 나빠든지 그 결과를 중요하지 않다. 자신의 능력을 부족하면 직업에 대한 적성이 맞을 감이 있다. 그래서 다른 조건보다 적성 더 중요하다고 생각한다.	0
19	[[문단]] 사람마다 가치가 다르고 처한 입장도 다르기 때문에 직업을 선택 시 중요시하는 조건도 다르다. 그러나 일반적으로 사람들은 많이 고려해 보는 조건들이 있는데 보통 가장 먼저 고려해 보는 조건들이 중 하나가 바로 개인의 적성이나 취향, 가치관 등 관계된 부분이다. 그리고 그 직업이 앞으로 발전 가능성 또한 많이 고려해 보는 조건이다. 아무리 좋아서 하는 일이라서 앞으로 가치가 떨어진다면 더 발전을 못하는 일이 선택할 수 없다. 마지막으로 그 일이 사화적으로 평반 또한 많이 고려 보는 조건이다. 자신에 얼마나 맞은덴 사화에 안 맞은 일이 조심하게 선택해야 한다. [[문단]] 직업을 선택할 때 중요하게 생각하는 조건은 3가지가 있다. 바로 개인의 적성이나 취향, 가치관과 발전가능성과 사화적으로 평반이다. 제가 그 중에서 가장 중요하다고 생각하는 조건은 개인의 적성이나 취향, 가치관이다. 왜냐하면 그 일이 자신에 적성이나 취향, 가치관을 다 다르면 그 일이 안 하도 된다. 그리고 하는 일이 자신에 맞으면 기분도 좋고 재미있을 것 같다. 그리고 개인의 적성이나 취향, 가치관은 내부원인이다. 하지만 발전가능성과 사화적인 평반은 다 외부원인이다. 외부원인은 편화할 수 있다. 그래서 개인의 적성이나 취향은 발전가능성과 사화적인 평반보다 더 중요하다고 생각하다.	2
21	[[문단]] 사람은 다르기 때문에 가치관도 다르고 직업을 선택하는 조건도 다르다. 직업을 선택하는 조건 중에서 가장 중요한 조건은 개인 취향이다. 회사에서 자신을 좋아하는 일을 하면 자신의 기분 좋아졌는데 모든 일을 잘 할 수 있을 것 같다. 다음에는 회사를 취직한 후에 앞으로 개인의 발정가능성이다. 회사에 발정 공간도 없으면 회사에 일을 하는 가지도 없다. 마지막으로 회사에서 일을 할 때 주변의 분위이다. 취직하는 회사에서 일을 할 때 분위가 나쁘면 일을 하는 동력이 없을 것 같다. 그래서 일을 할 때 좋은 분위도 중요하다. [[문단]] 이상으로 세가지 직업을 선택할 때 중요한 조건인데 세게 조건을 다 만족하는 직업이 많지 않다. 따라서 그 중에서 가장 중요한 조건을 만족하면 좋다. 제일 중요한 조건은 개인취향이다. 자신의 좋아하는 일을 하면 모든 문제도 해결할 수 있다. 회사에서 발정성이 없도 자신의 좋아하는 일을 하면 자신이 계속할 수 있다. 회사 분위가 나빠도 자신을 좋아하는 일을 하기 위해서 노력해야 한다. 그래서 직업을 선택할 때 중요하게 생각하는 조건은 개인취향이다. [[문단]] 따라서 취직할 때 자신을 좋아하는 일을 찾고 자신의 좋아하는 일을 한다. 이렇게 하면 회사에서 일을 할 때 하루 중일 기분도 좋다.	1
76	[[문단]] 사람에 따라 가치관이 다르기 때문에 직업 선택 시 중요시하는 조것도 다르다. 그러나 대부분 가장 먼저 고려해 보는 조건은 개인의 적성이나 가치관이다. 그리고 앞으로의 발전가능성 또한 많이 따져 보는 조건이다. 아무리 마음에 드는 일이라도 그 일의 가치가 떨어지면 여러 가지 문제에 직면할 수 있기 때문이다. 그리고 내 적성에 잘 맞는 일이지만 사회적으로 인정을 받지 못하면 불만족스러울 수 있는 것이다. [[문단]] 이왕 같은 조건을 고려해 직업을 선택하는 것이 좋지만 우선시해야 하는 조건은 가치관과 소용이라서 꼼꼼히 직업을 선택해야 한다. 예를 들면, 나는 통역사가 되고 싶은데 이 직업이 상대방에게 어떤 이익을 줄 수 있을까? 이 직업은 나의 적성에 맞거니와 다른 사람에게도 큰 도움이 되는 직업이다. 봉사 활동의 일함으로써 솔서수범이 될 수 있다. 한편 억지로 어떤 직업을 선택하게 하면 헛고생일 뿐만 아니라 시간도 낭비하고 열정 없이 일하게 되는 탓에 긍정적인 결과를 얻을 수 없다. 따라서 직업을 선택할 때 월급에 한 우물을 보되 자신에게 독보적인 직업을 선택하는 것은 무엇보다도 중요한다고 생각한다. [[문단]] 우리 삶 속에서 중요시하는 부분을 차지하는 게 중 하나가 직업이니만큼 그 선택에 있어 신중을 기해야 할 것이다. 자기 원하는 적성에 따라 일정하는 기준을 가지고 직업을 선택해야 한다.	3
35	[[문단]] 직업을 선택하는 것은 우리가 살면 서 필수적으로 해야 하는 일이다. 그런데 사람들의 가치관이나 인식에 따라 직업을 선택할 때 우선시하는 조건도 다르다. 나는 그 조건 중에는 능력이 제일 중요하다고 생각한다. [[문단]] 취업에 언급하면 대부분의 사람은 적성이나 취미를 떠올랐다. 자기가 좋아하는 일을 직업으로 심는다면 자신의 직업을 즐길 수 있을 것이다. 그러나 적성이나 취미로 직업을 선택하는 것은 모든 조건을 포함할 수 없다. 예를 들어 게임 프로 선수들은 보통 사람보다 더 많은 시간, 노력과 열정을 기울인다. 그러므로 그 선수들은 유명한 게이머가 됐다. 그러나 그 선수들한테 찬란한 시절은 20대의 몇 년 동안뿐이다. 대부분은 30살 이전에 은퇴하게 됐다. 왜냐하면 나이가 들수록 조종능력이나 반응능력이 젊은 사람만 못하므로 은퇴할 수밖에 없기 때문이다. [[문단]] 위에서 말했듯이 적성이나 취미로 직업을 선택하는 것은 모든 사람한테 적용되지 않는다. 대학생들 중에는 자기가 왜 이 전공을 선택했는지 자신한테 물어보는 경우가 많고 졸업 후 취직할 때 자기 원래 배웠던 지식과 관련이 없는 일을 택하는 상황도 종종 있다. 현재와 같은 약육강식의 사화에서는 능력이 모자라는 사람이 도퇴되는 것이 시간 문제다. 그러므로 직업을 선택할 때 섣불리 취향에 따르지 말고 자기가 갖고 있는 능력과 맞는지 잘 생각해야 한다. 따라서 직업 조건에서 무엇보다도 나는 능력이 제일 중요하다고 생각한다.	3
66	[[문단]] 사람들은 성격이 다르고 가치관이 다르므로 직업을 선택할 때 중요하게 생각하는 조건도 다르다. 그러나 일반적으로 대부분이 직업을 선택할 때 고려야 해보는 것이 있다. 먼저 자신의 적성, 취미, 가치관과 관련된 부분이다. 그리고 직업의 발전가능성을 고려야 한다. 아무리 적성에 맞는 일이라도 직업의 가치를 떨어진다면 어려운 현실에 직면해야 한다. 마지막으로, 직업의 사회적인 평판에 대해 생각하는 것이 중요하다. 직업의 사회적인 평판이 좋지 않다면 자신이 사회적인 인정을 빋지 못한다. 이어서 자신의 보람을 느끼지 못할 수가 있다. 따라서 적성, 발전가능성과 사회적인 평판은 직업을 선택을 때 중요하는 생각하는 조건 세 가지이다. [[문단]] 직업을 선택을 때 이상의 세 가지의 조건을 다 고려해 보면 좋겠지만 그 중에서 가장 중요하다고 생각하는 것은 하나면 골라야 한다면 적성을 가장 중요시해야 한다. 직업은 발전 가능성이 좋지않다면 가치를 떨어지거나 사회적인 평판은 좋지 않다면 사회적인 인정을 받지 못하는 것은 다 외부 적인 요인이다. 반면에 적성에 안 맞은 직업을 선택한다면 공통적으로 사회생활을 지내야 하는 것은 내부적인 요인이다. 인생의 의미가 돈을 버는 것뿐만 아니다 적성에만 맞는 직업을 선택한다면 경재 문재가 조금 해결해야 하지만 자신의 인생의 의미를 찾을 수 있다. [[문단]] 앞서 살펴본 바와 같이 직업을 선택할 때 명황한 목적과 진로를 고려하고 자신의 조건을 갖춰야 한다.	2
26	[[문단]] 사람마다 자기 성격이 다르기 때문에 직업을 선택할 때 좋요하게 생각하는 조건이 다르다. 성공을 얻고 싶은 사람은 연봉을 많이 벌을 수 있는 직업을 선택하는 반면에 가족들과 많이 추억을 만들고 싶은 사람은 휴가 시간이 많이 있는 직업을 선택한다. 나는 직업을 선택할 때 중요하게 생각하는 조건이 3가지 있다. 바로 직성과 잘 어울릴 수 있는 정도, 안정성 그리고 연봉도 빠질 수 없는 조건이다. [[문단]] 직업을 선택할 때 직성과 잘 맛춰야 직업을 오래동안 할 수 있다. 그리고 안정성이 가지고 있는 직업을 선택하면 발전을 할 수 있다고 생각한다. 연봉은 직업을 선택할 때 빠질 수 없는 조건이다. 직업을 하는 이유의 하나는 바로 돈을 벗고 생활하는 것을 때문이다. [[문단]] 직성, 안정성 그리고 연봉 3개 조건 중에서 내가 가장 중요하다고 생각하는 것은 직성이다. 안정성과 연봉은 다 외부 조건이라면 직성은 내성적인 조건이다. 직성은 우리 얼마동안 한 일자리에서 일할 수 잇는 것을 결정한다. 그리고 우리 일할 때 얻을 수 있는 만족감의 정도과 관련이 있다. 자기 직성과 잘 어울릴 수 있는 직업을 얻으면 일할 때도 행복하고 인정을 받고 만족도가 높이고 오래동안 한 직업을 할 수 있기 때문에 직성은 직업을 선택할 때 가장 중요한 조건이라고 생각한다. [[문단]] 사람마다 직업을 선택할 때 중요하다고 생각하는 조건이 다르지만 직성은 그 중에 잘 고려해야 하는 조건이다.	3
73	[[문단]] 직업은 현대 사회에 너 나 할것없이 가져야 하는 일이다. 직업은 자신이 얼마나 좋은 능력을 갖추느냐에 달련이다. 그래서 직업을 선택하기 전에 꾸준히 노력해야해서 마음에 드는 직업을 선택할 수 있다. [[문단]] 좋은 직업을 선택하면 일을 할때에는 시간이 흐르는줄 모르고 즐겁게 일을 할 수 있다. 반면에 마음에 들지 않은 직업을 받으면 항상 힘든 시간을 겪고 우울하게 일을 할 밖에 없다. 이를 통해서 직업을 선택하는 것이 여간 중요한 일이 아니다. 직업을 선택할때 우선 고려해야 하는 것은 바로 돈이다. 아무리 쉬운 일이 한들 자기의 생활을 유치할 수 있는 돈을 못 벌면 안 되기 때문이다. 그리고 이 직업이 가지고 있는 가치과 의미도 중요하다. 아무 소용없는 일이하는것이 생명의 낭비이다. 또한, 직업에 대해 자신의 만족도는 무시할수 없다. [[문단]] 물론 모든 조건이 다 중요하지만, 자신의 만족도는 가장 중요하다고 생각한다. 직업은 한번 선택하면 함부로 바꿀 수 있는 일이 아닌 만큼 심중하게 결정해야 한다. 자기의 적성에 맞춘 직업야말로 좋은 직업이다. 즐겁게 일을 하는 동시에 돈을 벌수 있고 사회에 도움을 줄수 있는 직업이 모두 원하는 것이다. 직업을 통해서 만족감을 얻을 수 있으면 삶의 가치가 나타날 것이다.	2
